"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"SSC","Spermatocyte","NRG3","ERBB4",3.0463685702835e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Spermatid","NRG3","ERBB4",3.18497843191043e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Sertoli","NRG3","ERBB4",0.00414954803393446,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Leydig","NRG3","ERBB4",2.03473171379685e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Myoid","NRG3","ERBB4",4.54238760505376e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Fibroblast","NRG3","ERBB4",5.43637615114404e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Endothelial","NRG3","ERBB4",2.29694199343702e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Sertoli","NRG3","ERBB2_ERBB4",0.000180468497816587,0,"NRG3_ERBB2_ERBB4","NRG3 - (ERBB2+ERBB4)","NRG","Secreted Signaling","KEGG: hsa04012"
"Sertoli","Sertoli","NRG4","ERBB4",0.0587080614513322,0,"NRG4_ERBB4","NRG4 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Sertoli","Sertoli","NRG4","ERBB2_ERBB4",0.00232910482519405,0,"NRG4_ERBB2_ERBB4","NRG4 - (ERBB2+ERBB4)","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","SSC","NRG1","ITGAV_ITGB3",1.79782864652317e-05,0,"NRG1_ITGAV_ITGB3","NRG1 - (ITGAV+ITGB3)","NRG","Secreted Signaling","PMID: 20682778"
"Sertoli","SSC","NRG1","ITGAV_ITGB3",0.000200101246940519,0,"NRG1_ITGAV_ITGB3","NRG1 - (ITGAV+ITGB3)","NRG","Secreted Signaling","PMID: 20682778"
"SSC","Spermatid","NRG1","ITGAV_ITGB3",6.04361746818273e-06,0,"NRG1_ITGAV_ITGB3","NRG1 - (ITGAV+ITGB3)","NRG","Secreted Signaling","PMID: 20682778"
"Sertoli","Spermatid","NRG1","ITGAV_ITGB3",6.6847344656275e-05,0,"NRG1_ITGAV_ITGB3","NRG1 - (ITGAV+ITGB3)","NRG","Secreted Signaling","PMID: 20682778"
"SSC","Endothelial","NRG1","ITGAV_ITGB3",2.85486706039413e-06,0,"NRG1_ITGAV_ITGB3","NRG1 - (ITGAV+ITGB3)","NRG","Secreted Signaling","PMID: 20682778"
"Sertoli","Endothelial","NRG1","ITGAV_ITGB3",3.14574434605449e-05,0,"NRG1_ITGAV_ITGB3","NRG1 - (ITGAV+ITGB3)","NRG","Secreted Signaling","PMID: 20682778"
"SSC","SSC","VEGFC","FLT4",2.06376055187397e-07,0,"VEGFC_VEGFR3","VEGFC - VEGFR3","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"Sertoli","SSC","VEGFC","FLT4",1.56838502874532e-06,0,"VEGFC_VEGFR3","VEGFC - VEGFR3","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"SSC","Spermatocyte","VEGFC","FLT4",3.42642587780229e-08,0,"VEGFC_VEGFR3","VEGFC - VEGFR3","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"Sertoli","Spermatocyte","VEGFC","FLT4",2.60361718726365e-07,0,"VEGFC_VEGFR3","VEGFC - VEGFR3","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"SSC","Spermatid","VEGFC","FLT4",2.07188798262887e-07,0,"VEGFC_VEGFR3","VEGFC - VEGFR3","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"Sertoli","Spermatid","VEGFC","FLT4",1.57468509132188e-06,0,"VEGFC_VEGFR3","VEGFC - VEGFR3","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"SSC","Endothelial","VEGFC","FLT4",1.04146256745754e-07,0,"VEGFC_VEGFR3","VEGFC - VEGFR3","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
