"x"
"NRG1"
"NRG3"
"NRG4"
"SPP1"
"SLIT2"
"LAMA1"
"LAMA2"
"LAMB1"
"COL4A1"
"COL4A2"
"COL4A5"
"LAMA3"
"CD46"
"CDH4"
"EFNA5"
"NCAM1"
"NECTIN3"
"LRRC4C"
"JAG1"
"NRXN3"
"SEMA6A"
"TENM4"
"NTN1"
"NTN4"
"ERBB4"
"ROBO1"
"ROBO2"
"DAG1"
"JAG1"
"CDH4"
"EPHA7"
"FGFR1"
"NCAM1"
"NECTIN2"
"NTNG1"
"NOTCH2"
"NLGN1"
"PLXNA2"
"ADGRL2"
"ADGRL3"
"CLSTN1"
"CLSTN2"
"DSCAM"
"UNC5C"
"UNC5D"
"ITGAV"
"ITGA9"
"ITGA8"
"ITGA6"
"ITGB1"
"ITGB5"
