"metadata_columns"
"barcode"
"orig.ident"
"nCount_RNA"
"nFeature_RNA"
"Group"
"percent.mt"
"emptyDrops_Total"
"emptyDrops_LogProb"
"emptyDrops_PValue"
"emptyDrops_Limited"
"emptyDrops_FDR"
"cells_id"
"doublet_scores"
"doublet_class"
"samples"
"seurat_clusters"
"Horse"
"detailed_group"
"condition"
"RNA_snn_res.0.3"
"SSC_Score1"
"Spermatocyte_Score1"
"Spermatid_Score1"
"Sertoli_Score1"
"Leydig_Score1"
"Myoid_Score1"
"Fibroblast_Score1"
"Endothelial_Score1"
"cell_type"
