"interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","annotation","interaction_name_2","evidence","is_neurotransmitter","ligand.symbol","ligand.family","ligand.location","ligand.keyword","ligand.secreted_type","ligand.transmembrane","receptor.symbol","receptor.family","receptor.location","receptor.keyword","receptor.surfaceome_main","receptor.surfaceome_sub","receptor.adhesome","receptor.secreted_type","receptor.transmembrane","version"
"TGFB3_TGFBR1_TGFBR2","TGFb","TGFB3","TGFbR1_R2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","Secreted Signaling","TGFB3 - (TGFBR1+TGFBR2)","KEGG: hsa04350","FALSE","TGFB3","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein","cytokine;growth factor","TRUE","TGFBR2, TGFBR1","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"TGFB3_ACVR1B_TGFBR2","TGFb","TGFB3","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","Secreted Signaling","TGFB3 - (ACVR1B+TGFBR2)","PMID: 27449815","FALSE","TGFB3","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein","cytokine;growth factor","TRUE","TGFBR2, ACVR1B","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"TGFB3_ACVR1C_TGFBR2","TGFb","TGFB3","ACVR1C_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","Secreted Signaling","TGFB3 - (ACVR1C+TGFBR2)","PMID: 27449815","FALSE","TGFB3","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein","cytokine;growth factor","TRUE","TGFBR2, ACVR1C","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"TGFB3_ACVR1_TGFBR1","TGFb","TGFB3","ACVR1_TGFbR","","","","","Secreted Signaling","TGFB3 - (ACVR1+TGFBR1)","PMID: 29376829","FALSE","TGFB3","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein","cytokine;growth factor","TRUE","TGFBR2, ACVR1, TGFBR1","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"BMP2_BMPR1A_ACVR2A","BMP","BMP2","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","BMP2 - (BMPR1A+ACVR2A)","KEGG: hsa04350; PMID:26893264","FALSE","BMP2","TGF-beta","Secreted","Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism","cytokine;growth factor","FALSE","ACVR2A, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Membrane, Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Disease variant, Cell membrane","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"BMP2_BMPR1A_ACVR2B","BMP","BMP2","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","BMP2 - (BMPR1A+ACVR2B)","KEGG: hsa04350; PMID:26893264","FALSE","BMP2","TGF-beta","Secreted","Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism","cytokine;growth factor","FALSE","ACVR2B, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Heterotaxy, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"BMP2_BMPR1A_BMPR2","BMP","BMP2","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","BMP2 - (BMPR1A+BMPR2)","KEGG: hsa04350; PMID:26893264","FALSE","BMP2","TGF-beta","Secreted","Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism","cytokine;growth factor","FALSE","BMPR2, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"BMP2_BMPR1B_ACVR2A","BMP","BMP2","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","BMP2 - (BMPR1B+ACVR2A)","KEGG: hsa04350; PMID:26893264","FALSE","BMP2","TGF-beta","Secreted","Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism","cytokine;growth factor","FALSE","BMPR1B, ACVR2A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"BMP2_BMPR1B_ACVR2B","BMP","BMP2","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","BMP2 - (BMPR1B+ACVR2B)","KEGG: hsa04350; PMID:26893264","FALSE","BMP2","TGF-beta","Secreted","Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism","cytokine;growth factor","FALSE","BMPR1B, ACVR2B","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Heterotaxy, Glycoprotein, Phosphoprotein","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"BMP2_BMPR1B_BMPR2","BMP","BMP2","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","BMP2 - (BMPR1B+BMPR2)","KEGG: hsa04350; PMID:26893264","FALSE","BMP2","TGF-beta","Secreted","Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism","cytokine;growth factor","FALSE","BMPR1B, BMPR2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein, Phosphoprotein","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF5_BMPR1A_ACVR2A","BMP","GDF5","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF5 - (BMPR1A+ACVR2A)","KEGG: hsa04350; PMID:26893264","FALSE","GDF5","TGF-beta","Secreted, Cell membrane","Disease variant, Membrane, Signal, Reference proteome, Cell membrane, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Dwarfism, Chondrogenesis, 3D-structure, Cytokine, Glycoprotein","cytokine;growth factor","TRUE","ACVR2A, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Membrane, Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Disease variant, Cell membrane","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF5_BMPR1A_ACVR2B","BMP","GDF5","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF5 - (BMPR1A+ACVR2B)","KEGG: hsa04350; PMID:26893264","FALSE","GDF5","TGF-beta","Secreted, Cell membrane","Disease variant, Membrane, Signal, Reference proteome, Cell membrane, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Dwarfism, Chondrogenesis, 3D-structure, Cytokine, Glycoprotein","cytokine;growth factor","TRUE","ACVR2B, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Heterotaxy, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF5_BMPR1A_BMPR2","BMP","GDF5","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF5 - (BMPR1A+BMPR2)","KEGG: hsa04350; PMID:26893264","FALSE","GDF5","TGF-beta","Secreted, Cell membrane","Disease variant, Membrane, Signal, Reference proteome, Cell membrane, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Dwarfism, Chondrogenesis, 3D-structure, Cytokine, Glycoprotein","cytokine;growth factor","TRUE","BMPR2, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF5_BMPR1B_ACVR2A","BMP","GDF5","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF5 - (BMPR1B+ACVR2A)","KEGG: hsa04350; PMID:26893264","FALSE","GDF5","TGF-beta","Secreted, Cell membrane","Disease variant, Membrane, Signal, Reference proteome, Cell membrane, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Dwarfism, Chondrogenesis, 3D-structure, Cytokine, Glycoprotein","cytokine;growth factor","TRUE","BMPR1B, ACVR2A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF5_BMPR1B_ACVR2B","BMP","GDF5","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF5 - (BMPR1B+ACVR2B)","KEGG: hsa04350; PMID:26893264","FALSE","GDF5","TGF-beta","Secreted, Cell membrane","Disease variant, Membrane, Signal, Reference proteome, Cell membrane, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Dwarfism, Chondrogenesis, 3D-structure, Cytokine, Glycoprotein","cytokine;growth factor","TRUE","BMPR1B, ACVR2B","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Heterotaxy, Glycoprotein, Phosphoprotein","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF5_BMPR1B_BMPR2","BMP","GDF5","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF5 - (BMPR1B+BMPR2)","KEGG: hsa04350; PMID:26893264","FALSE","GDF5","TGF-beta","Secreted, Cell membrane","Disease variant, Membrane, Signal, Reference proteome, Cell membrane, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Dwarfism, Chondrogenesis, 3D-structure, Cytokine, Glycoprotein","cytokine;growth factor","TRUE","BMPR1B, BMPR2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein, Phosphoprotein","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF6_BMPR1A_ACVR2A","BMP","GDF6","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF6 - (BMPR1A+ACVR2A)","KEGG: hsa04350; PMID:26893264","FALSE","GDF6","TGF-beta","Secreted","Disulfide bond, Secreted, Growth factor, Deafness, Cytokine, Glycoprotein, Disease variant, Chromosomal rearrangement, Microphthalmia, Signal, Developmental protein, Reference proteome, Apoptosis, Cleavage on pair of basic residues, Non-syndromic deafness, Leber congenital amaurosis, Dwarfism","cytokine;growth factor","FALSE","ACVR2A, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Membrane, Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Disease variant, Cell membrane","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF6_BMPR1A_ACVR2B","BMP","GDF6","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF6 - (BMPR1A+ACVR2B)","KEGG: hsa04350; PMID:26893264","FALSE","GDF6","TGF-beta","Secreted","Disulfide bond, Secreted, Growth factor, Deafness, Cytokine, Glycoprotein, Disease variant, Chromosomal rearrangement, Microphthalmia, Signal, Developmental protein, Reference proteome, Apoptosis, Cleavage on pair of basic residues, Non-syndromic deafness, Leber congenital amaurosis, Dwarfism","cytokine;growth factor","FALSE","ACVR2B, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Heterotaxy, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF6_BMPR1A_BMPR2","BMP","GDF6","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF6 - (BMPR1A+BMPR2)","KEGG: hsa04350; PMID:26893264","FALSE","GDF6","TGF-beta","Secreted","Disulfide bond, Secreted, Growth factor, Deafness, Cytokine, Glycoprotein, Disease variant, Chromosomal rearrangement, Microphthalmia, Signal, Developmental protein, Reference proteome, Apoptosis, Cleavage on pair of basic residues, Non-syndromic deafness, Leber congenital amaurosis, Dwarfism","cytokine;growth factor","FALSE","BMPR2, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF6_BMPR1B_ACVR2A","BMP","GDF6","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF6 - (BMPR1B+ACVR2A)","KEGG: hsa04350; PMID:26893264","FALSE","GDF6","TGF-beta","Secreted","Disulfide bond, Secreted, Growth factor, Deafness, Cytokine, Glycoprotein, Disease variant, Chromosomal rearrangement, Microphthalmia, Signal, Developmental protein, Reference proteome, Apoptosis, Cleavage on pair of basic residues, Non-syndromic deafness, Leber congenital amaurosis, Dwarfism","cytokine;growth factor","FALSE","BMPR1B, ACVR2A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF6_BMPR1B_ACVR2B","BMP","GDF6","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF6 - (BMPR1B+ACVR2B)","KEGG: hsa04350; PMID:26893264","FALSE","GDF6","TGF-beta","Secreted","Disulfide bond, Secreted, Growth factor, Deafness, Cytokine, Glycoprotein, Disease variant, Chromosomal rearrangement, Microphthalmia, Signal, Developmental protein, Reference proteome, Apoptosis, Cleavage on pair of basic residues, Non-syndromic deafness, Leber congenital amaurosis, Dwarfism","cytokine;growth factor","FALSE","BMPR1B, ACVR2B","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Heterotaxy, Glycoprotein, Phosphoprotein","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF6_BMPR1B_BMPR2","BMP","GDF6","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF6 - (BMPR1B+BMPR2)","KEGG: hsa04350; PMID:26893264","FALSE","GDF6","TGF-beta","Secreted","Disulfide bond, Secreted, Growth factor, Deafness, Cytokine, Glycoprotein, Disease variant, Chromosomal rearrangement, Microphthalmia, Signal, Developmental protein, Reference proteome, Apoptosis, Cleavage on pair of basic residues, Non-syndromic deafness, Leber congenital amaurosis, Dwarfism","cytokine;growth factor","FALSE","BMPR1B, BMPR2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein, Phosphoprotein","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF7_BMPR1A_ACVR2A","BMP","GDF7","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF7 - (BMPR1A+ACVR2A)","KEGG: hsa04350; PMID:26893264","FALSE","GDF7","TGF-beta","Secreted","Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Cytokine, Glycoprotein","cytokine;growth factor","FALSE","ACVR2A, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Membrane, Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Disease variant, Cell membrane","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF7_BMPR1A_ACVR2B","BMP","GDF7","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF7 - (BMPR1A+ACVR2B)","KEGG: hsa04350; PMID:26893264","FALSE","GDF7","TGF-beta","Secreted","Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Cytokine, Glycoprotein","cytokine;growth factor","FALSE","ACVR2B, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Heterotaxy, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF7_BMPR1A_BMPR2","BMP","GDF7","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF7 - (BMPR1A+BMPR2)","KEGG: hsa04350; PMID:26893264","FALSE","GDF7","TGF-beta","Secreted","Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Cytokine, Glycoprotein","cytokine;growth factor","FALSE","BMPR2, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
"GDF7_BMPR1B_ACVR2A","BMP","GDF7","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","Secreted Signaling","GDF7 - (BMPR1B+ACVR2A)","KEGG: hsa04350; PMID:26893264","FALSE","GDF7","TGF-beta","Secreted","Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Cytokine, Glycoprotein","cytokine;growth factor","FALSE","BMPR1B, ACVR2A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein","Receptors","Act.TGFB;Kinase","","","TRUE","CellChatDB v1"
