"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","datasets","ligand.logFC","ligand.pct.1","ligand.pct.2","ligand.pvalues","receptor.logFC","receptor.pct.1","receptor.pct.2","receptor.pvalues"
"Leydig","Spermatid","BMP6","BMPR1A_BMPR2",0.000113885918375605,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,0.490737979217039,57.2847682119205,43.1595521343597,2.11563150662559e-08
"Leydig","Sertoli","BMP6","BMPR1A_BMPR2",0.00231569980122818,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,-0.61330781112411,60.0189753320683,92.8261262891261,0
"Leydig","Myoid","BMP6","BMPR1A_BMPR2",8.7993838469101e-05,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,-0.301423243871323,33.6633663366337,53.4466477809254,0.00612607036310074
"Leydig","Fibroblast","BMP6","BMPR1A_BMPR2",3.31281528036531e-05,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,-0.157929003493194,36.3503649635037,46.3461538461538,0.00988950606711002
"Leydig","Endothelial","BMP6","BMPR1A_BMPR2",2.46942145035752e-05,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,NA,NA,NA,NA
"Leydig","SSC","BMP6","BMPR1B_ACVR2A",0.000168107683420218,0,"BMP6_BMPR1B_ACVR2A","BMP6 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,NA,NA,NA,NA
"Leydig","Spermatocyte","BMP6","BMPR1B_ACVR2A",0.000290439852990032,0,"BMP6_BMPR1B_ACVR2A","BMP6 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,0.0134442980149969,35.7868020304569,54.051778572932,0.00999471034068369
"Leydig","Spermatid","BMP6","BMPR1B_ACVR2A",0.00017391293326281,0,"BMP6_BMPR1B_ACVR2A","BMP6 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,0.318838437026596,63.5761589403974,57.3827851644507,0.000210907513724007
"Leydig","Fibroblast","BMP6","BMPR1B_ACVR2A",2.60505139347428e-05,0,"BMP6_BMPR1B_ACVR2A","BMP6 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,-0.227182278094488,19.1240875912409,31.4423076923077,0.00308575987749381
"Leydig","Endothelial","BMP6","BMPR1B_ACVR2A",1.25740396622318e-05,0,"BMP6_BMPR1B_ACVR2A","BMP6 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,NA,NA,NA,NA
