"x"
"BMP5"
"WNT5B"
"NRG1"
"NRG3"
"NRG4"
"PDGFC"
"SPP1"
"PTN"
"SLIT2"
"LAMA1"
"LAMA2"
"LAMB1"
"COL4A1"
"COL4A2"
"COL4A5"
"COL4A6"
"LAMA3"
"PTPRC"
"CD46"
"CDH4"
"EFNA5"
"NCAM1"
"NEGR1"
"LRRC4C"
"JAG1"
"NRXN1"
"NRXN3"
"PTPRM"
"SEMA6A"
"FLRT2"
"TENM2"
"TENM3"
"TENM4"
"NTN1"
"NTN4"
"LIPA"
"FZD3"
"ERBB4"
"PDGFRA"
"PTPRZ1"
"SDC2"
"ALK"
"ROBO1"
"ROBO2"
"DAG1"
"RORA"
"CD22"
"JAG1"
"CDH4"
"EPHA7"
"FGFR1"
"NCAM1"
"NEGR1"
"NTNG1"
"NOTCH2"
"NLGN1"
"PTPRM"
"PLXNA2"
"PLXNA4"
"ADGRL2"
"ADGRL3"
"FLRT2"
"UNC5B"
"UNC5C"
"UNC5D"
"CLSTN1"
"CLSTN2"
"DSCAM"
"ACVR1"
"BMPR1A"
"BMPR1B"
"ITGAV"
"ITGA9"
"ITGA8"
"ITGA6"
"ACVR2A"
"BMPR2"
"ITGB1"
"ITGB5"
