"gene","status"
"Activin AB","MISSING"
"Inhibin A","MISSING"
"Inhibin B","MISSING"
"IGFL3","MISSING"
"CCL3L1","MISSING"
"CCL3L3","MISSING"
"CCL7","MISSING"
"CCL14","MISSING"
"CCL23","MISSING"
"CCL21","MISSING"
"CCL18","MISSING"
"CXCL3","MISSING"
"CXCL5","MISSING"
"PF4V1","MISSING"
"XCL2","MISSING"
"IL3","MISSING"
"IL12AB","MISSING"
"IL23 complex","MISSING"
"IL27 complex","MISSING"
"IL1B","MISSING"
"IL17AF","MISSING"
"IFNW1","MISSING"
"IFNA2","MISSING"
"IFNA4","MISSING"
"IFNA5","MISSING"
"IFNA6","MISSING"
"IFNA7","MISSING"
"IFNA8","MISSING"
"IFNA10","MISSING"
"IFNA13","MISSING"
"IFNA14","MISSING"
"IFNA16","MISSING"
"IFNA17","MISSING"
"IFNA21","MISSING"
"LTa1b2","MISSING"
"KLK3","MISSING"
"C3","MISSING"
"C4A","MISSING"
"CORT","MISSING"
"PRSS3","MISSING"
"CTSG","MISSING"
"PRSS1","MISSING"
"LGALS9","MISSING"
"RLN1","MISSING"
"SLURP1","MISSING"
"SLURP2","MISSING"
"UCN2","MISSING"
"Npnt complex 1","MISSING"
"Npnt complex 2","MISSING"
"CEACAM1","MISSING"
"CLEC2D","MISSING"
"CLEC2A","MISSING"
"HLA-A","MISSING"
"HLA-B","MISSING"
"HLA-C","MISSING"
"HLA-E","MISSING"
"HLA-F","MISSING"
"HLA-G","MISSING"
"ULBP1","MISSING"
"ULBP2","MISSING"
"ULBP3","MISSING"
"RAET1L","MISSING"
"RAET1E","MISSING"
"RAET1G","MISSING"
"HLA-DPA1","MISSING"
"HLA-DPB1","MISSING"
"HLA-DQA1","MISSING"
"HLA-DQA2","MISSING"
"HLA-DOA","MISSING"
"HLA-DOB","MISSING"
"HLA-DQB1","MISSING"
"HLA-DRB1","MISSING"
"HLA-DRB3","MISSING"
"HLA-DRB4","MISSING"
"HLA-DRB5","MISSING"
"ITGA4_ITGB1","MISSING"
"ITGA9_ITGB1","MISSING"
"ITGA4_ITGB7","MISSING"
"PCDHA10","MISSING"
"PCDHA11","MISSING"
"PCDHA12","MISSING"
"PCDHA13","MISSING"
"PCDHA1","MISSING"
"PCDHA2","MISSING"
"PCDHA4","MISSING"
"PCDHA5","MISSING"
"PCDHA6","MISSING"
"PCDHA7","MISSING"
"PCDHA8","MISSING"
"PCDHA9","MISSING"
"PCDHAC1","MISSING"
"PCDHAC2","MISSING"
"PCDHB10","MISSING"
"PCDHB11","MISSING"
"PCDHB12","MISSING"
"PCDHB13","MISSING"
"PCDHB14","MISSING"
"PCDHB15","MISSING"
"PCDHB16","MISSING"
"PCDHB9","MISSING"
"PCDHGA1","MISSING"
"PCDHGA10","MISSING"
"PCDHGA11","MISSING"
"PCDHGA12","MISSING"
"PCDHGA2","MISSING"
