"human_symbol","n_horse_genes","n_present","best_gene","best_expr","non_loc_gene","non_loc_expr","non_loc_is_best","all_genes"
"C5orf52",3,3,"LOC111772202",35,NA,NA,NA,"LOC100630784=0; LOC111767425=5; LOC111772202=35"
"C8orf33",2,2,"C9H8orf33",37137,"C9H8orf33",37137,TRUE,"C9H8orf33=37137; LOC111775071=5295"
"CA13",2,2,"CA13",8008,"CA13",8008,TRUE,"CA13=8008; LOC111774898=952"
"CACNB1",2,2,"CACNB1",4370,"CACNB1",4370,TRUE,"CACNB1=4370; LOC102150940=1996"
"CACNG6",2,2,"CACNG6",76,"CACNG6",76,TRUE,"CACNG6=76; LOC111775140=0"
"CAPSL",3,3,"CAPSL",0,"CAPSL",0,TRUE,"CAPSL=0; LOC111767424=0; LOC111769804=0"
"CAPZA3",3,3,"CAPZA3",1,"CAPZA3",1,TRUE,"CAPZA3=1; LOC111773934=0; LOC111773936=0"
"CARNMT1",2,2,"CARNMT1",48687,"CARNMT1",48687,TRUE,"CARNMT1=48687; LOC106781547=3795"
"CBARP",2,2,"LOC111774427",610,"CBARP",5,FALSE,"CBARP=5; LOC111774427=610"
"CBX1",2,2,"CBX1",15370,"CBX1",15370,TRUE,"CBX1=15370; LOC111775656=0"
"CCDC34",2,2,"LOC106783444",26932,"CCDC34",23340,FALSE,"CCDC34=23340; LOC106783444=26932"
"CCDC93",2,2,"CCDC93",78029,"CCDC93",78029,TRUE,"CCDC93=78029; LOC106781940=22349"
"CCER1",2,2,"CCER1",972,"CCER1",972,TRUE,"CCER1=972; LOC106782719=879"
"CCL25",2,2,"LOC111774140",6735,"CCL25",28,FALSE,"CCL25=28; LOC111774140=6735"
"CCNG2",3,3,"LOC111772881",153,"CCNG2",4,FALSE,"CCNG2=4; LOC111767499=0; LOC111772881=153"
"CCPG1",3,3,"CCPG1",107,"CCPG1",107,TRUE,"CCPG1=107; LOC111767410=12; LOC111767693=71"
"CD200",2,2,"CD200",21371,"CD200",21371,TRUE,"CD200=21371; LOC111769099=2516"
"CDC73",2,2,"CDC73",142959,"CDC73",142959,TRUE,"CDC73=142959; LOC102149030=4447"
"CDHR3",2,2,"LOC106783036",11691,"CDHR3",1856,FALSE,"CDHR3=1856; LOC106783036=11691"
"CDK1",2,2,"CDK1",4801,"CDK1",4801,TRUE,"CDK1=4801; LOC102150134=113"
"CFAP47",2,2,"CFAP47",29834,"CFAP47",29834,TRUE,"CFAP47=29834; LOC111771655=48"
"CFAP54",3,3,"CFAP54",93229,"CFAP54",93229,TRUE,"CFAP54=93229; LOC111771894=0; LOC111772271=11"
"CGNL1",6,6,"LOC111767596",108948,"CGNL1",277,FALSE,"CGNL1=277; LOC111767596=108948; LOC111771791=0; LOC111772094=273; LOC111772095=38; LOC111772355=0"
"CHD9NB",2,2,"LOC106782973",2338,NA,NA,NA,"LOC106782973=2338; LOC111772751=115"
"CHGA",2,2,"CHGA",1,"CHGA",1,TRUE,"CHGA=1; LOC111770391=0"
"CHORDC1",3,3,"LOC111772144",191,NA,NA,NA,"LOC111772144=191; LOC111772152=0; LOC111774312=0"
"CLDN18",3,3,"LOC111767408",1,"CLDN18",0,FALSE,"CLDN18=0; LOC111767408=1; LOC111772209=1"
"CLGN",3,3,"LOC111772552",48,"CLGN",4,FALSE,"CLGN=4; LOC111772552=48; LOC111772553=0"
"CLK3",2,2,"CLK3",12278,"CLK3",12278,TRUE,"CLK3=12278; LOC102151025=312"
"CLMP",2,2,"CLMP",6134,"CLMP",6134,TRUE,"CLMP=6134; LOC111774236=67"
"CLTRN",2,2,"CLTRN",2682,"CLTRN",2682,TRUE,"CLTRN=2682; LOC111771638=312"
"CMAS",4,4,"LOC111767497",30,"CMAS",0,FALSE,"CMAS=0; LOC111767497=30; LOC111772031=0; LOC111772222=0"
"CNTNAP2",3,3,"LOC111773318",40700,"CNTNAP2",8775,FALSE,"CNTNAP2=8775; LOC111772211=0; LOC111773318=40700"
"COA1",2,2,"COA1",44879,"COA1",44879,TRUE,"COA1=44879; LOC111773138=390"
"COL5A2",2,2,"COL5A2",39825,"COL5A2",39825,TRUE,"COL5A2=39825; LOC102148143=32120"
"COLEC10",2,2,"LOC106780988",19666,"COLEC10",770,FALSE,"COLEC10=770; LOC106780988=19666"
"CPNE4",3,3,"CPNE4",29479,"CPNE4",29479,TRUE,"CPNE4=29479; LOC102149588=1368; LOC111768415=2161"
"CPPED1",4,4,"CPPED1",3023,"CPPED1",3023,TRUE,"CPPED1=3023; LOC111771832=440; LOC111772169=973; LOC111772263=7"
"CRTAM",2,2,"CRTAM",0,"CRTAM",0,TRUE,"CRTAM=0; LOC111767443=0"
"CSF2RA",2,2,"LOC102148014",926,NA,NA,NA,"LOC102148014=926; LOC111771626=25"
"CSK",2,2,"CSK",3220,"CSK",3220,TRUE,"CSK=3220; LOC111775325=4"
"CSRP3",2,2,"CSRP3",0,"CSRP3",0,TRUE,"CSRP3=0; LOC111771872=0"
"CTSH",3,3,"LOC111775628",2,"CTSH",1,FALSE,"CTSH=1; LOC111775628=2; LOC111775633=1"
"CTTN",2,2,"CTTN",127729,"CTTN",127729,TRUE,"CTTN=127729; LOC111775993=935"
"CTXN2",2,2,"LOC111767893",1,NA,NA,NA,"LOC100629943=0; LOC111767893=1"
"CXCR5",2,2,"LOC111774227",2,NA,NA,NA,"LOC111774227=2; LOC111774228=0"
"CXorf58",2,2,"CXHXorf58",10364,"CXHXorf58",10364,TRUE,"CXHXorf58=10364; LOC106781332=686"
"DCAF12L2",3,3,"DCAF12L2",5,"DCAF12L2",5,TRUE,"DCAF12L2=5; LOC100060012=0; LOC111771735=0"
"DEFB110",2,2,"LOC100630617",5,NA,NA,NA,"LOC100630617=5; LOC111769164=1"
"DEFB114",2,2,"LOC111769162",3,NA,NA,NA,"LOC111769162=3; LOC111769227=1"
"DEFB119",2,2,"DEFB119",15202,"DEFB119",15202,TRUE,"DEFB119=15202; DEFB121=2265"
"DENND1A",2,2,"DENND1A",126190,"DENND1A",126190,TRUE,"DENND1A=126190; LOC111770661=104113"
"DLC1",2,2,"DLC1",26276,"DLC1",26276,TRUE,"DLC1=26276; LOC106782658=14025"
"DMBT1",3,3,"DMBT1",920,"DMBT1",920,TRUE,"DMBT1=920; LOC100064515=7; LOC111772215=1"
"DMD",2,2,"DMD",219843,"DMD",219843,TRUE,"DMD=219843; LOC111771840=0"
"DMRTC1B",2,2,"DMRTC1B",0,"DMRTC1B",0,TRUE,"DMRTC1B=0; LOC111772363=0"
"DNAH17",2,2,"DNAH17",114653,"DNAH17",114653,TRUE,"DNAH17=114653; LOC111772299=2188"
"DNAJC5G",2,2,"DNAJC5G",3226,"DNAJC5G",3226,TRUE,"DNAJC5G=3226; LOC111768012=756"
"DNASE1",2,2,"DNASE1",1101,"DNASE1",1101,TRUE,"DNASE1=1101; LOC111767580=894"
"DPY19L3",2,2,"DPY19L3",144579,"DPY19L3",144579,TRUE,"DPY19L3=144579; LOC111775400=2"
"DTWD2",2,2,"DTWD2",42174,"DTWD2",42174,TRUE,"DTWD2=42174; LOC111767839=6810"
"DUSP18",4,4,"LOC100063545",2,NA,NA,NA,"LOC100063545=2; LOC111767426=0; LOC111774601=0; LOC111774603=0"
"DUT",2,2,"DUT",6,"DUT",6,TRUE,"DUT=6; LOC106782180=3"
"EAPP",4,4,"EAPP",12955,"EAPP",12955,TRUE,"EAPP=12955; LOC111769115=0; LOC111772021=36; LOC111772150=0"
"ECT2",2,2,"ECT2",30726,"ECT2",30726,TRUE,"ECT2=30726; LOC111769022=988"
"EFCAB3",3,3,"EFCAB3",245374,"EFCAB3",245374,TRUE,"EFCAB3=245374; LOC102147922=34; LOC111771722=3"
"EGFR",2,2,"EGFR",73613,"EGFR",73613,TRUE,"EGFR=73613; LOC111773151=0"
"EIF2S2",4,4,"LOC111767490",16,"EIF2S2",0,FALSE,"EIF2S2=0; LOC111767440=0; LOC111767490=16; LOC111772161=7"
"EIF5A",2,2,"EIF5A",3942,"EIF5A",3942,TRUE,"EIF5A=3942; LOC102151053=1297"
"ELL3",2,2,"LOC111768046",6676,"ELL3",899,FALSE,"ELL3=899; LOC111768046=6676"
"ENDOU",2,2,"ENDOU",687,"ENDOU",687,TRUE,"ENDOU=687; LOC106783324=142"
"ENG",2,2,"ENG",618,"ENG",618,TRUE,"ENG=618; LOC106782598=29"
"ENPP6",2,2,"ENPP6",2671,"ENPP6",2671,TRUE,"ENPP6=2671; LOC111772370=3"
"EPB41L4A",2,2,"EPB41L4A",40629,"EPB41L4A",40629,TRUE,"EPB41L4A=40629; LOC111767695=220"
"EPHA6",4,4,"EPHA6",154069,"EPHA6",154069,TRUE,"EPHA6=154069; LOC111771734=0; LOC111771787=0; LOC111771895=0"
"ERICH2",2,2,"ERICH2",8778,"ERICH2",8778,TRUE,"ERICH2=8778; LOC111768926=5287"
"EVA1A",4,4,"LOC111771720",28,"EVA1A",4,FALSE,"EVA1A=4; LOC111771720=28; LOC111771738=2; LOC111772311=1"
"EVX1",2,2,"LOC111773202",64,"EVX1",10,FALSE,"EVX1=10; LOC111773202=64"
"FAM168B",3,3,"FAM168B",40604,"FAM168B",40604,TRUE,"FAM168B=40604; LOC111771830=0; LOC111771930=7"
"FAT2",3,3,"FAT2",214,"FAT2",214,TRUE,"FAT2=214; LOC111767758=0; LOC111771886=0"
"FCHO2",2,2,"FCHO2",123948,"FCHO2",123948,TRUE,"FCHO2=123948; LOC111767923=13184"
"FFAR4",2,2,"FFAR4",2,"FFAR4",2,TRUE,"FFAR4=2; LOC111773841=2"
"FOXJ1",2,2,"FOXJ1",216,"FOXJ1",216,TRUE,"FOXJ1=216; LOC111775585=125"
"FOXN3",3,3,"FOXN3",240380,"FOXN3",240380,TRUE,"FOXN3=240380; LOC111770381=0; LOC111772126=0"
"FRMD4A",4,4,"FRMD4A",54518,"FRMD4A",54518,TRUE,"FRMD4A=54518; LOC111771238=7089; LOC111771754=110; LOC111772367=3"
"FRMPD4",2,2,"FRMPD4",30848,"FRMPD4",30848,TRUE,"FRMPD4=30848; LOC111771637=296"
"GABRG2",3,3,"GABRG2",20,"GABRG2",20,TRUE,"GABRG2=20; LOC111772157=1; LOC111772272=1"
"GAD2",2,2,"LOC111772328",62,"GAD2",27,FALSE,"GAD2=27; LOC111772328=62"
"GALNTL6",2,2,"LOC111772521",203,NA,NA,NA,"LOC106782832=188; LOC111772521=203"
"GALR3",3,3,"LOC111771084",2,NA,NA,NA,"LOC111771084=2; LOC111771137=0; LOC111772322=0"
"GAS6",2,2,"GAS6",14883,"GAS6",14883,TRUE,"GAS6=14883; LOC111771948=503"
"GCAT",3,3,"LOC111770995",5,"GCAT",0,FALSE,"GCAT=0; LOC111770995=5; LOC111771135=1"
"GCK",2,2,"LOC100051836",49,NA,NA,NA,"LOC100051836=49; LOC111773142=33"
"GDAP1",2,2,"GDAP1",2969,"GDAP1",2969,TRUE,"GDAP1=2969; LOC111774920=32"
"GDPD1",2,2,"GDPD1",24991,"GDPD1",24991,TRUE,"GDPD1=24991; LOC111775679=1649"
"GFM1",3,3,"GFM1",127921,"GFM1",127921,TRUE,"GFM1=127921; LOC102148956=4123; LOC111771985=450"
"GJD2",2,2,"LOC111771644",74,"GJD2",57,FALSE,"GJD2=57; LOC111771644=74"
"GLRA3",3,3,"GLRA3",1064,"GLRA3",1064,TRUE,"GLRA3=1064; LOC111770437=1; LOC111771916=0"
"GLYATL3",2,2,"GLYATL3",222,"GLYATL3",222,TRUE,"GLYATL3=222; LOC111769344=25"
"GML",2,2,"GML",467,"GML",467,TRUE,"GML=467; LOC111771807=0"
"GOLGA5",2,2,"LOC111767491",35,"GOLGA5",28,FALSE,"GOLGA5=28; LOC111767491=35"
"GPC5",2,2,"GPC5",85974,"GPC5",85974,TRUE,"GPC5=85974; LOC111772127=6"
"GPCPD1",3,3,"GPCPD1",36395,"GPCPD1",36395,TRUE,"GPCPD1=36395; LOC111770062=10; LOC111771751=7"
"GPR55",2,2,"GPR55",22053,"GPR55",22053,TRUE,"GPR55=22053; LOC111773858=3589"
"GPR65",2,2,"LOC106782546",4095,"GPR65",1433,FALSE,"GPR65=1433; LOC106782546=4095"
"GRIA1",3,3,"GRIA1",2789,"GRIA1",2789,TRUE,"GRIA1=2789; LOC111767940=17; LOC111771867=0"
"GRIA3",2,2,"GRIA3",95771,"GRIA3",95771,TRUE,"GRIA3=95771; LOC111771461=310"
"GRIFIN",2,2,"LOC111767624",33,"GRIFIN",0,FALSE,"GRIFIN=0; LOC111767624=33"
"GRINA",2,2,"GRINA",1115,"GRINA",1115,TRUE,"GRINA=1115; LOC111775058=1"
"GRK3",2,2,"LOC111767400",11873,"GRK3",382,FALSE,"GRK3=382; LOC111767400=11873"
"GTPBP6",2,2,"GTPBP6",1448,"GTPBP6",1448,TRUE,"GTPBP6=1448; LOC111771565=108"
"GUF1",2,2,"GUF1",12932,"GUF1",12932,TRUE,"GUF1=12932; LOC111772914=646"
"GZMM",2,2,"GZMM",182,"GZMM",182,TRUE,"GZMM=182; LOC111774150=22"
"H1-0",3,3,"H1-0",1,"H1-0",1,TRUE,"H1-0=1; LOC111770994=0; LOC111771136=0"
"HDGFL1",2,2,"HDGFL1",0,"HDGFL1",0,TRUE,"HDGFL1=0; LOC111769286=0"
"HEPH",2,2,"HEPH",91,"HEPH",91,TRUE,"HEPH=91; LOC111771500=31"
"HHIP",3,3,"HHIP",2707,"HHIP",2707,TRUE,"HHIP=2707; LOC111771740=0; LOC111772326=6"
"HIVEP2",2,2,"LOC102148065",141181,"HIVEP2",85150,FALSE,"HIVEP2=85150; LOC102148065=141181"
"HS3ST4",2,2,"LOC111767614",947396,NA,NA,NA,"LOC111767614=947396; LOC111767642=232"
"HSD17B12",2,2,"HSD17B12",213456,"HSD17B12",213456,TRUE,"HSD17B12=213456; LOC106781436=11627"
"HSP90AA1",2,2,"HSP90AA1",55055,"HSP90AA1",55055,TRUE,"HSP90AA1=55055; LOC102147696=29344"
"HSPA8",2,2,"HSPA8",947,"HSPA8",947,TRUE,"HSPA8=947; LOC111774237=4"
"IFT81",2,2,"IFT81",57377,"IFT81",57377,TRUE,"IFT81=57377; LOC111774656=4968"
"IK",4,4,"LOC111767788",349,NA,NA,NA,"LOC100072389=82; LOC111767784=203; LOC111767788=349; LOC111772174=11"
"IKZF2",2,2,"IKZF2",26453,"IKZF2",26453,TRUE,"IKZF2=26453; LOC111772296=1"
"IL15",2,2,"IL15",22913,"IL15",22913,TRUE,"IL15=22913; LOC102150877=19"
"IL1RL2",2,2,"IL1RL2",2880,"IL1RL2",2880,TRUE,"IL1RL2=2880; LOC111768026=44"
"IL26",2,2,"LOC111774027",104,"IL26",27,FALSE,"IL26=27; LOC111774027=104"
"IL33",2,2,"LOC106782495",8686,"IL33",1298,FALSE,"IL33=1298; LOC106782495=8686"
"IL3RA",2,2,"LOC106781070",200,NA,NA,NA,"LOC106781070=200; LOC111771652=9"
"IL7R",3,3,"IL7R",0,"IL7R",0,TRUE,"IL7R=0; LOC111769795=0; LOC111769802=0"
"IMMT",3,3,"IMMT",70313,"IMMT",70313,TRUE,"IMMT=70313; LOC111771970=0; LOC111771998=0"
"IMPA1",2,2,"IMPA1",36646,"IMPA1",36646,TRUE,"IMPA1=36646; LOC111774904=6951"
"INAVA",2,2,"INAVA",0,"INAVA",0,TRUE,"INAVA=0; LOC111772342=0"
"IPO9",2,2,"IPO9",98236,"IPO9",98236,TRUE,"IPO9=98236; LOC111771304=0"
"IQCM",2,2,"LOC111770477",48199,NA,NA,NA,"LOC111770477=48199; LOC111772538=40762"
"IRAG2",2,2,"LOC111773944",2354,"IRAG2",1239,FALSE,"IRAG2=1239; LOC111773944=2354"
"IRF5",2,2,"LOC111773249",219,"IRF5",92,FALSE,"IRF5=92; LOC111773249=219"
"ITGB7",2,2,"ITGB7",275,"ITGB7",275,TRUE,"ITGB7=275; LOC111774048=0"
"ITM2A",3,3,"LOC111771463",1,"ITM2A",0,FALSE,"ITM2A=0; LOC111767494=0; LOC111771463=1"
"ITPK1",2,2,"ITPK1",23041,"ITPK1",23041,TRUE,"ITPK1=23041; LOC111770385=967"
"JAKMIP3",2,2,"JAKMIP3",1879,"JAKMIP3",1879,TRUE,"JAKMIP3=1879; LOC111772664=132"
"JHY",2,2,"JHY",0,"JHY",0,TRUE,"JHY=0; LOC111767441=0"
"KBTBD11",2,2,"LOC111770964",14,"KBTBD11",0,FALSE,"KBTBD11=0; LOC111770964=14"
"KCNJ8",2,2,"KCNJ8",0,"KCNJ8",0,TRUE,"KCNJ8=0; LOC111772219=0"
"KHDRBS2",2,2,"KHDRBS2",18423,"KHDRBS2",18423,TRUE,"KHDRBS2=18423; LOC111769356=55"
"KIF21A",2,2,"KIF21A",270129,"KIF21A",270129,TRUE,"KIF21A=270129; LOC111773956=0"
"KIF21B",2,2,"KIF21B",1073,"KIF21B",1073,TRUE,"KIF21B=1073; LOC111771713=0"
"KLHL13",2,2,"KLHL13",59790,"KLHL13",59790,TRUE,"KLHL13=59790; LOC111771513=3546"
"KRTAP11-1",2,2,"KRTAP11-1",0,"KRTAP11-1",0,TRUE,"KRTAP11-1=0; LOC100064470=0"
"KRTAP7-1",2,2,"KRTAP7-1",0,"KRTAP7-1",0,TRUE,"KRTAP7-1=0; LOC100630522=0"
"KRTAP8-1",2,2,"KRTAP8-1",0,"KRTAP8-1",0,TRUE,"KRTAP8-1=0; LOC100064553=0"
"KSR2",3,3,"LOC100055035",8227,NA,NA,NA,"LOC100055035=8227; LOC111771813=6; LOC111774797=3784"
"LACTBL1",2,2,"LOC111772421",1430,"LACTBL1",145,FALSE,"LACTBL1=145; LOC111772421=1430"
"LDHA",2,2,"LDHA",2111,"LDHA",2111,TRUE,"LDHA=2111; LOC111774423=372"
"LIN9",2,2,"LIN9",52745,"LIN9",52745,TRUE,"LIN9=52745; LOC111772238=1"
"LINGO1",2,2,"LOC111775709",3772,"LINGO1",1339,FALSE,"LINGO1=1339; LOC111775709=3772"
"LINGO2",3,3,"LOC111770199",21729,"LINGO2",0,FALSE,"LINGO2=0; LOC111770199=21729; LOC111770201=23"
"LIPA",2,2,"LIPA",18359,"LIPA",18359,TRUE,"LIPA=18359; LOC111773909=4226"
"LIPC",2,2,"LOC111767595",2177,"LIPC",1100,FALSE,"LIPC=1100; LOC111767595=2177"
"LMNTD1",2,2,"LMNTD1",299246,"LMNTD1",299246,TRUE,"LMNTD1=299246; LOC111774044=221"
"LPAR1",2,2,"LPAR1",119006,"LPAR1",119006,TRUE,"LOC111770670=2523; LPAR1=119006"
"LPIN1",2,2,"LPIN1",139821,"LPIN1",139821,TRUE,"LOC106781765=0; LPIN1=139821"
"LRRC4C",2,2,"LRRC4C",69372,"LRRC4C",69372,TRUE,"LOC111776034=40886; LRRC4C=69372"
"LRRC61",3,3,"LOC106783110",1964,"LRRC61",1578,FALSE,"LOC106783110=1964; LRRC61=1578; ZBED10=1272"
"LRRC69",2,2,"LRRC69",37334,"LRRC69",37334,TRUE,"LOC102148653=0; LRRC69=37334"
"LUZP2",2,2,"LOC111774381",105498,NA,NA,NA,"LOC100072189=79304; LOC111774381=105498"
"LYSET",2,2,"LYSET",140,"LYSET",140,TRUE,"LOC111772187=0; LYSET=140"
"MACIR",3,3,"MACIR",18345,"MACIR",18345,TRUE,"LOC106781657=1645; LOC111767867=830; MACIR=18345"
"MALSU1",2,2,"MALSU1",26081,"MALSU1",26081,TRUE,"LOC106783070=3726; MALSU1=26081"
"MAP3K7CL",2,2,"LOC111770777",2890,"MAP3K7CL",1423,FALSE,"LOC111770777=2890; MAP3K7CL=1423"
"MAPK8IP2",2,2,"LOC111771098",19008,"MAPK8IP2",3605,FALSE,"LOC111771098=19008; MAPK8IP2=3605"
"MARK1",2,2,"MARK1",79350,"MARK1",79350,TRUE,"LOC111771358=9898; MARK1=79350"
"MAST4",4,4,"MAST4",914209,"MAST4",914209,TRUE,"LOC111771731=0; LOC111771757=0; LOC111771811=0; MAST4=914209"
"MBD5",2,2,"MBD5",245472,"MBD5",245472,TRUE,"LOC111768819=13894; MBD5=245472"
"MED6",2,2,"MED6",31334,"MED6",31334,TRUE,"LOC111771805=949; MED6=31334"
"MFSD1",2,2,"MFSD1",14206,"MFSD1",14206,TRUE,"LOC100052520=1; MFSD1=14206"
"MGAT4D",3,3,"MGAT4D",20331,"MGAT4D",20331,TRUE,"LOC111771808=86; LOC111772554=11; MGAT4D=20331"
"MIA3",2,2,"LOC100053461",28782,NA,NA,NA,"LOC100053461=28782; LOC111772088=236"
"MORF4L1",3,3,"MORF4L1",45,"MORF4L1",45,TRUE,"LOC111767506=0; LOC111775634=0; MORF4L1=45"
"MROH1",2,2,"MROH1",36742,"MROH1",36742,TRUE,"LOC106781020=351; MROH1=36742"
"MRPL1",4,4,"LOC111772880",15,"MRPL1",0,FALSE,"LOC111772382=0; LOC111772877=0; LOC111772880=15; MRPL1=0"
"MRPL44",4,4,"MRPL44",3,"MRPL44",3,TRUE,"LOC111771726=0; LOC111772275=2; LOC111773850=0; MRPL44=3"
"MRPS28",3,3,"MRPS28",1386,"MRPS28",1386,TRUE,"LOC111772243=1; LOC111774909=0; MRPS28=1386"
"MRTFA",2,2,"MRTFA",55000,"MRTFA",55000,TRUE,"LOC111771056=15182; MRTFA=55000"
"MRTO4",2,2,"MRTO4",1976,"MRTO4",1976,TRUE,"LOC111772017=0; MRTO4=1976"
"MSRB2",3,3,"LOC111772259",2,"MSRB2",0,FALSE,"LOC111771762=0; LOC111772259=2; MSRB2=0"
"MSTN",2,2,"LOC111768770",2184,"MSTN",637,FALSE,"LOC111768770=2184; MSTN=637"
"MUC4",2,2,"MUC4",216,"MUC4",216,TRUE,"LOC111769076=110; MUC4=216"
"MUCL1",2,2,"LOC111773997",1092,"MUCL1",115,FALSE,"LOC111773997=1092; MUCL1=115"
"MYEF2",2,2,"MYEF2",118,"MYEF2",118,TRUE,"LOC111767887=71; MYEF2=118"
"MYO18A",2,2,"MYO18A",102266,"MYO18A",102266,TRUE,"LOC111775706=1612; MYO18A=102266"
"MYO18B",6,6,"MYO18B",9879,"MYO18B",9879,TRUE,"LOC111771826=1; LOC111771829=1; LOC111771896=0; LOC111771897=6; LOC111771898=0; MYO18B=9879"
"MYO3A",3,3,"MYO3A",94924,"MYO3A",94924,TRUE,"LOC111767476=553; LOC111771804=80; MYO3A=94924"
"MYO5B",3,3,"MYO5B",67387,"MYO5B",67387,TRUE,"LOC111772147=2; LOC111774835=38913; MYO5B=67387"
"MYO7A",2,2,"MYO7A",23534,"MYO7A",23534,TRUE,"LOC111774331=3603; MYO7A=23534"
"MYZAP",4,4,"LOC111767409",2,NA,NA,NA,"LOC100068476=0; LOC111767409=2; LOC111772091=0; LOC111772352=0"
"N4BP1",2,2,"N4BP1",32685,"N4BP1",32685,TRUE,"LOC111771748=0; N4BP1=32685"
"NAALAD2",4,4,"LOC111771951",13407,NA,NA,NA,"LOC111771951=13407; LOC111772143=7458; LOC111774314=349; LOC111774315=36"
"NAALADL2",2,2,"NAALADL2",206581,"NAALADL2",206581,TRUE,"LOC111768968=94722; NAALADL2=206581"
"NBEAL1",2,2,"NBEAL1",171144,"NBEAL1",171144,TRUE,"LOC111771766=18; NBEAL1=171144"
"NDUFA2",3,3,"LOC111767785",0,NA,NA,NA,"LOC111767785=0; LOC111767790=0; LOC111772123=0"
"NELL1",2,2,"NELL1",24855,"NELL1",24855,TRUE,"LOC111772321=0; NELL1=24855"
