"human_symbol","n_horse_genes","n_present","best_gene","best_expr","non_loc_gene","non_loc_expr","non_loc_is_best","all_genes"
"RAD21",2,2,"RAD21",45879,"RAD21",45879,TRUE,"LOC111775006=1340; RAD21=45879"
"RAD23B",3,3,"LOC111767493",127,"RAD23B",65,FALSE,"LOC111767493=127; LOC111772206=29; RAD23B=65"
"RALB",2,2,"RALB",46245,"RALB",46245,TRUE,"LOC111768875=2382; RALB=46245"
"RALY",4,4,"RALY",30274,"RALY",30274,TRUE,"LOC111769994=1; LOC111771889=0; LOC111772162=0; RALY=30274"
"RAP1B",2,2,"RAP1B",21047,"RAP1B",21047,TRUE,"LOC111774031=1332; RAP1B=21047"
"RAPGEF4",2,2,"RAPGEF4",20742,"RAPGEF4",20742,TRUE,"LOC111768738=0; RAPGEF4=20742"
"RAPGEF5",2,2,"RAPGEF5",207381,"RAPGEF5",207381,TRUE,"LOC111773192=17395; RAPGEF5=207381"
"RARRES1",2,2,"LOC111771987",466,NA,NA,NA,"LOC100055750=247; LOC111771987=466"
"RASGEF1B",2,2,"RASGEF1B",29905,"RASGEF1B",29905,TRUE,"LOC102149438=22827; RASGEF1B=29905"
"RBP1",2,2,"RBP1",6962,"RBP1",6962,TRUE,"LOC111771884=2; RBP1=6962"
"RBP4",2,2,"LOC111773844",0,"RBP4",0,FALSE,"LOC111773844=0; RBP4=0"
"RCE1",2,2,"TOP6BL",58546,"RCE1",1561,FALSE,"RCE1=1561; TOP6BL=58546"
"RERE",2,2,"RERE",627184,"RERE",627184,TRUE,"LOC111772460=0; RERE=627184"
"RHOF",2,2,"LOC102147544",9999,"RHOF",1597,FALSE,"LOC102147544=9999; RHOF=1597"
"RHOV",2,2,"LOC111775570",615,"RHOV",282,FALSE,"LOC111775570=615; RHOV=282"
"RIMS1",2,2,"LOC106782290",166430,"RIMS1",153669,FALSE,"LOC106782290=166430; RIMS1=153669"
"RIOK2",2,2,"RIOK2",35016,"RIOK2",35016,TRUE,"LOC111767960=223; RIOK2=35016"
"RIOX2",2,2,"RIOX2",6732,"RIOX2",6732,TRUE,"LOC111767495=57; RIOX2=6732"
"RIPOR1",2,2,"RIPOR1",13887,"RIPOR1",13887,TRUE,"LOC111773014=2527; RIPOR1=13887"
"RNF38",2,2,"RNF38",96552,"RNF38",96552,TRUE,"LOC111767480=33607; RNF38=96552"
"RP1",2,2,"LOC106780977",8727,NA,NA,NA,"LOC100053179=8267; LOC106780977=8727"
"RPL11",2,2,"RPL11",33,"RPL11",33,TRUE,"LOC111772418=4; RPL11=33"
"RPS4X",2,2,"RPS4X",2206,"RPS4X",2206,TRUE,"LOC111771821=5; RPS4X=2206"
"RRP15",2,2,"LOC111771317",0,"RRP15",0,FALSE,"LOC111771317=0; RRP15=0"
"SATL1",4,4,"LOC111772309",28,"SATL1",0,FALSE,"LOC100072329=0; LOC111772180=0; LOC111772309=28; SATL1=0"
"SCAF8",2,2,"SCAF8",120826,"SCAF8",120826,TRUE,"LOC111771398=2835; SCAF8=120826"
"SCIN",2,2,"SCIN",4196,"SCIN",4196,TRUE,"LOC111773179=0; SCIN=4196"
"SCRG1",2,2,"SCRG1",1486,"SCRG1",1486,TRUE,"LOC111772520=323; SCRG1=1486"
"SCRT1",2,2,"LOC111775063",15,NA,NA,NA,"LOC111775062=1; LOC111775063=15"
"SEL1L3",2,2,"SEL1L3",33392,"SEL1L3",33392,TRUE,"LOC111772938=81; SEL1L3=33392"
"SERPINE2",4,4,"SERPINE2",6,"SERPINE2",6,TRUE,"LOC111767415=0; LOC111767501=0; LOC111771777=2; SERPINE2=6"
"SETD4",2,2,"LOC111770802",31452,"SETD4",24542,FALSE,"LOC111770802=31452; SETD4=24542"
"SETMAR",2,2,"LOC100059905",1244,NA,NA,NA,"LOC100059905=1244; LOC111768301=286"
"SF3B2",2,2,"SF3B2",29985,"SF3B2",29985,TRUE,"LOC111775975=133; SF3B2=29985"
"SH2D6",3,3,"SH2D6",789,"SH2D6",789,TRUE,"LOC106781725=446; LOC111768053=217; SH2D6=789"
"SHOC1",3,3,"LOC111770568",44110,"SHOC1",31263,FALSE,"LOC111770567=4475; LOC111770568=44110; SHOC1=31263"
"SLAMF9",2,2,"LOC100057986",155,"SLAMF9",97,FALSE,"LOC100057986=155; SLAMF9=97"
"SLC12A1",2,2,"LOC111767871",4,"SLC12A1",3,FALSE,"LOC111767871=4; SLC12A1=3"
"SLC16A7",3,3,"SLC16A7",6886,"SLC16A7",6886,TRUE,"LOC111772303=1; LOC111774016=3; SLC16A7=6886"
"SLC24A5",2,2,"LOC111767897",2,"SLC24A5",2,FALSE,"LOC111767897=2; SLC24A5=2"
"SLC25A40",2,2,"SLC25A40",79431,"SLC25A40",79431,TRUE,"LOC111773158=22505; SLC25A40=79431"
"SLC36A1",3,3,"SLC36A1",20,"SLC36A1",20,TRUE,"LOC111767478=0; LOC111767486=0; SLC36A1=20"
"SLC5A6",2,2,"SLC5A6",2768,"SLC5A6",2768,TRUE,"LOC102150810=1; SLC5A6=2768"
"SLC5A7",2,2,"SLC5A7",1811,"SLC5A7",1811,TRUE,"LOC100061431=379; SLC5A7=1811"
"SLC66A2",2,2,"SLC66A2",9787,"SLC66A2",9787,TRUE,"LOC111774778=1544; SLC66A2=9787"
"SLCO1B3",3,3,"SLCO1B3",220,"SLCO1B3",220,TRUE,"LOC111771841=0; LOC111772051=0; SLCO1B3=220"
"SLCO1C1",4,4,"SLCO1C1",2859,"SLCO1C1",2859,TRUE,"LOC111771842=1; LOC111772052=1; LOC111773939=21; SLCO1C1=2859"
"SLMAP",2,2,"SLMAP",235961,"SLMAP",235961,TRUE,"LOC111768320=67; SLMAP=235961"
"SMC2",3,3,"LOC111767492",5,"SMC2",0,FALSE,"LOC111767492=5; LOC111771822=0; SMC2=0"
"SMIM41",2,2,"LOC106783309",422,NA,NA,NA,"LOC106783309=422; LOC111773986=353"
"SNX11",2,2,"SNX11",6148,"SNX11",6148,TRUE,"LOC111775657=174; SNX11=6148"
"SNX12",2,2,"SNX12",5341,"SNX12",5341,TRUE,"LOC102150515=3900; SNX12=5341"
"SNX14",2,2,"SNX14",9,"SNX14",9,TRUE,"LOC111775306=0; SNX14=9"
"SPATA31F1",2,2,"LOC106782502",3154,NA,NA,NA,"LOC100060718=1916; LOC106782502=3154"
