"gene","reason"
"PCDHGA5","NO_ORTHOLOG_IN_MAPPING"
"PCDHGA6","NO_ORTHOLOG_IN_MAPPING"
"PCDHGA7","NO_ORTHOLOG_IN_MAPPING"
"PCDHGA8","NO_ORTHOLOG_IN_MAPPING"
"PCDHGA9","NO_ORTHOLOG_IN_MAPPING"
"PCDHGB1","NO_ORTHOLOG_IN_MAPPING"
"PCDHGB2","NO_ORTHOLOG_IN_MAPPING"
"PCDHGB3","NO_ORTHOLOG_IN_MAPPING"
"PCDHGB4","NO_ORTHOLOG_IN_MAPPING"
"PCDHGB5","NO_ORTHOLOG_IN_MAPPING"
"PCDHGB6","NO_ORTHOLOG_IN_MAPPING"
"PCDHGB7","NO_ORTHOLOG_IN_MAPPING"
"PCDHGC4","NO_ORTHOLOG_IN_MAPPING"
"PCDHGC5","NO_ORTHOLOG_IN_MAPPING"
"KLK4","NO_ORTHOLOG_IN_MAPPING"
"KLK2","NO_ORTHOLOG_IN_MAPPING"
"5-HT-TPH1_SLC18A1","NO_ORTHOLOG_IN_MAPPING"
"5-HT-TPH1_SLC18A2","NO_ORTHOLOG_IN_MAPPING"
"5-HT-TPH1_SLC6A4","NO_ORTHOLOG_IN_MAPPING"
"5-HT-TPH2_SLC18A1","NO_ORTHOLOG_IN_MAPPING"
"5-HT-TPH2_SLC18A2","NO_ORTHOLOG_IN_MAPPING"
"5-HT-TPH2_SLC6A4","NO_ORTHOLOG_IN_MAPPING"
"Ach-CHAT_SLC10A4","NO_ORTHOLOG_IN_MAPPING"
"Ach-CHAT_SLC18A3","NO_ORTHOLOG_IN_MAPPING"
"Ach-CHAT_SLC5A7","NO_ORTHOLOG_IN_MAPPING"
"GABA-GAD1_SLC32A1","NO_ORTHOLOG_IN_MAPPING"
"GABA-GAD1_SLC6A1","NO_ORTHOLOG_IN_MAPPING"
"GABA-GAD1_SLC6A11","NO_ORTHOLOG_IN_MAPPING"
"GABA-GAD1_SLC6A12","NO_ORTHOLOG_IN_MAPPING"
"GABA-GAD1_SLC6A13","NO_ORTHOLOG_IN_MAPPING"
"GABA-GAD1_SLC6A6","NO_ORTHOLOG_IN_MAPPING"
"GABA-GAD1_SLC6A8","NO_ORTHOLOG_IN_MAPPING"
"GABA-GAD2_SLC32A1","NO_ORTHOLOG_IN_MAPPING"
"GABA-GAD2_SLC6A1","NO_ORTHOLOG_IN_MAPPING"
"GABA-GAD2_SLC6A11","NO_ORTHOLOG_IN_MAPPING"
"GABA-GAD2_SLC6A12","NO_ORTHOLOG_IN_MAPPING"
"GABA-GAD2_SLC6A13","NO_ORTHOLOG_IN_MAPPING"
"GABA-GAD2_SLC6A6","NO_ORTHOLOG_IN_MAPPING"
"GABA-GAD2_SLC6A8","NO_ORTHOLOG_IN_MAPPING"
"Gly-SHMT1_SLC6A5","NO_ORTHOLOG_IN_MAPPING"
"Gly-SHMT1_SLC6A9","NO_ORTHOLOG_IN_MAPPING"
"Gly-SHMT2_SLC6A5","NO_ORTHOLOG_IN_MAPPING"
"Gly-SHMT2_SLC6A9","NO_ORTHOLOG_IN_MAPPING"
"ITGAV_ITGB3","NO_ORTHOLOG_IN_MAPPING"
"ITGAV_ITGB5","NO_ORTHOLOG_IN_MAPPING"
"ITGAV_ITGB1","NO_ORTHOLOG_IN_MAPPING"
"COL3A1","NO_ORTHOLOG_IN_MAPPING"
"TENM2_FLRT1","NO_ORTHOLOG_IN_MAPPING"
"TENM2_FLRT3","NO_ORTHOLOG_IN_MAPPING"
"TENM4_FLRT1","NO_ORTHOLOG_IN_MAPPING"
"TENM4_FLRT3","NO_ORTHOLOG_IN_MAPPING"
"TENM3_FLRT1","NO_ORTHOLOG_IN_MAPPING"
"TENM3_FLRT3","NO_ORTHOLOG_IN_MAPPING"
"ADO-NT5E_SLC29A1","NO_ORTHOLOG_IN_MAPPING"
"ADO-NT5E_SLC29A2","NO_ORTHOLOG_IN_MAPPING"
"ADO-NT5E_SLC29A3","NO_ORTHOLOG_IN_MAPPING"
"ADO-NT5E_SLC29A4","NO_ORTHOLOG_IN_MAPPING"
"ADR-PNMT_SLC18A1","NO_ORTHOLOG_IN_MAPPING"
"ADR-PNMT_SLC18A2","NO_ORTHOLOG_IN_MAPPING"
"NE-DBH_SLC18A1","NO_ORTHOLOG_IN_MAPPING"
"NE-DBH_SLC18A2","NO_ORTHOLOG_IN_MAPPING"
"NE-DBH_SLC6A2","NO_ORTHOLOG_IN_MAPPING"
"LTC4-LTC4S","NO_ORTHOLOG_IN_MAPPING"
"LTD4-GGT1","NO_ORTHOLOG_IN_MAPPING"
"LTE4-DPEP1","NO_ORTHOLOG_IN_MAPPING"
"LTE4-DPEP2","NO_ORTHOLOG_IN_MAPPING"
"LTE4-DPEP3","NO_ORTHOLOG_IN_MAPPING"
