"gene","reason"
"CALCR_RAMP2","NO_ORTHOLOG_IN_MAPPING"
"CALCR_RAMP3","NO_ORTHOLOG_IN_MAPPING"
"CALCRL_RAMP1","NO_ORTHOLOG_IN_MAPPING"
"CALCRL_RAMP2","NO_ORTHOLOG_IN_MAPPING"
"CALCRL_RAMP3","NO_ORTHOLOG_IN_MAPPING"
"PROCR_HSP90AA1","NO_ORTHOLOG_IN_MAPPING"
"PROCR_F2R","NO_ORTHOLOG_IN_MAPPING"
"HTR3_complex","NO_ORTHOLOG_IN_MAPPING"
"CHRN_A1_2B1DE","NO_ORTHOLOG_IN_MAPPING"
"CHRN_A1_2B1DG","NO_ORTHOLOG_IN_MAPPING"
"CHRN_A3B4","NO_ORTHOLOG_IN_MAPPING"
"CHRN_A4B2","NO_ORTHOLOG_IN_MAPPING"
"GABR_A1B3G2","NO_ORTHOLOG_IN_MAPPING"
"GABR_A1B2G2","NO_ORTHOLOG_IN_MAPPING"
"GABR_A1B2","NO_ORTHOLOG_IN_MAPPING"
"GABR_A1B3","NO_ORTHOLOG_IN_MAPPING"
"GABR_A1B2D","NO_ORTHOLOG_IN_MAPPING"
"GABR_A2B3G2","NO_ORTHOLOG_IN_MAPPING"
"GABR_A3B3G2","NO_ORTHOLOG_IN_MAPPING"
"GABR_A3B3Q","NO_ORTHOLOG_IN_MAPPING"
"GABR_A3B3E","NO_ORTHOLOG_IN_MAPPING"
"GABR_A4B3G2","NO_ORTHOLOG_IN_MAPPING"
"GABR_A4B3D","NO_ORTHOLOG_IN_MAPPING"
"GABR_A4B2D","NO_ORTHOLOG_IN_MAPPING"
"GABR_A5B3G2","NO_ORTHOLOG_IN_MAPPING"
"GABR_A6B3G2","NO_ORTHOLOG_IN_MAPPING"
"GABR_A6B3D","NO_ORTHOLOG_IN_MAPPING"
"GLRA1_GLRB","NO_ORTHOLOG_IN_MAPPING"
"ADGRE2","NO_ORTHOLOG_IN_MAPPING"
"FPR3","NO_ORTHOLOG_IN_MAPPING"
"LTB4R2","NO_ORTHOLOG_IN_MAPPING"
"GRIK1_GRIK4","NO_ORTHOLOG_IN_MAPPING"
"GRIK2_GRIK4","NO_ORTHOLOG_IN_MAPPING"
"GRIK3_GRIK4","NO_ORTHOLOG_IN_MAPPING"
"GRIK1_GRIK5","NO_ORTHOLOG_IN_MAPPING"
"GRIK2_GRIK5","NO_ORTHOLOG_IN_MAPPING"
"GRIK3_GRIK5","NO_ORTHOLOG_IN_MAPPING"
"GRIN1_GRIN2A","NO_ORTHOLOG_IN_MAPPING"
"GRIN1_GRIN2B","NO_ORTHOLOG_IN_MAPPING"
"GRIN1_GRIN2C","NO_ORTHOLOG_IN_MAPPING"
"GRIN1_GRIN2D","NO_ORTHOLOG_IN_MAPPING"
"TREM2_TYROBP","NO_ORTHOLOG_IN_MAPPING"
"CUBN_AMN","NO_ORTHOLOG_IN_MAPPING"
"RARA_CRABP2","NO_ORTHOLOG_IN_MAPPING"
"RARA_RXRA_CRABP2","NO_ORTHOLOG_IN_MAPPING"
"RARB_CRABP2","NO_ORTHOLOG_IN_MAPPING"
"RARB_RXRB_CRABP2","NO_ORTHOLOG_IN_MAPPING"
"RARG_CRABP2","NO_ORTHOLOG_IN_MAPPING"
"RARG_RXRG_CRABP2","NO_ORTHOLOG_IN_MAPPING"
"RXRA_CRABP2","NO_ORTHOLOG_IN_MAPPING"
"RXRB_CRABP2","NO_ORTHOLOG_IN_MAPPING"
"RXRG_CRABP2","NO_ORTHOLOG_IN_MAPPING"
"PILRB","NO_ORTHOLOG_IN_MAPPING"
"LILRB4","NO_ORTHOLOG_IN_MAPPING"
"BCR_CD45_CD22","NO_ORTHOLOG_IN_MAPPING"
"NKG2D_HCST","NO_ORTHOLOG_IN_MAPPING"
"AMHR2_BMPR1B","NO_ORTHOLOG_IN_MAPPING"
"MMP14_ITGAV_ITGB3","NO_ORTHOLOG_IN_MAPPING"
"CATSPER1_CATSPERB","NO_ORTHOLOG_IN_MAPPING"
"CATSPER1_CATSPERD","NO_ORTHOLOG_IN_MAPPING"
"CATSPER2_CATSPERB","NO_ORTHOLOG_IN_MAPPING"
"CATSPER2_CATSPERD","NO_ORTHOLOG_IN_MAPPING"
"CATSPER3_CATSPERB","NO_ORTHOLOG_IN_MAPPING"
"CATSPER3_CATSPERD","NO_ORTHOLOG_IN_MAPPING"
"CATSPER4_CATSPERB","NO_ORTHOLOG_IN_MAPPING"
"CATSPER4_CATSPERD","NO_ORTHOLOG_IN_MAPPING"
"HTR3C","NO_ORTHOLOG_IN_MAPPING"
"HTR3D","NO_ORTHOLOG_IN_MAPPING"
"HTR3E","NO_ORTHOLOG_IN_MAPPING"
"ITGAD_ITGB2","NO_ORTHOLOG_IN_MAPPING"
"BMP10 activation receptor","NO_ORTHOLOG_IN_MAPPING"
"WNT activation receptor","NO_ORTHOLOG_IN_MAPPING"
"ncWNT activation receptor","NO_ORTHOLOG_IN_MAPPING"
"FGF activation receptor 2","NO_ORTHOLOG_IN_MAPPING"
"FGF activation receptor 3","NO_ORTHOLOG_IN_MAPPING"
"VEGF activation receptor","NO_ORTHOLOG_IN_MAPPING"
"HH activation receptor","NO_ORTHOLOG_IN_MAPPING"
"NGFR activation receptor","NO_ORTHOLOG_IN_MAPPING"
"TGFb inhibition receptor","NO_ORTHOLOG_IN_MAPPING"
"BMP inhibition receptor","NO_ORTHOLOG_IN_MAPPING"
"ACTIVIN inhibition receptor","NO_ORTHOLOG_IN_MAPPING"
"WNT inhibition receptor","NO_ORTHOLOG_IN_MAPPING"
"FGF inhibition receptor","NO_ORTHOLOG_IN_MAPPING"
"INSULIN inhibition receptor","NO_ORTHOLOG_IN_MAPPING"
"HH inhibition receptor","NO_ORTHOLOG_IN_MAPPING"
"ANGPT inhibition receptor 1","NO_ORTHOLOG_IN_MAPPING"
"ANGPT inhibition receptor 2","NO_ORTHOLOG_IN_MAPPING"
